Category,SubCategory,CatID,CatShort,Synonyms,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw
ANIMALS,REPTILE,ANMLRept,ANML,"Alligator, Alligators, Bearded, Boas, Caiman, Chameleon, Chameleons, Cobras, Crocodile, Crocodiles, Dragon, Dragons, Gecko, Geckos, Gharial, Gila, Iguana, Iguanas, Komodo, Lizard, Lizards, Monitor, Monitors, Monsters, Pythons, Rattlesnake, Reptiles, Serpents, Skink, Skinks, Snake, Snakes, Terrapin, Tortoise, Tortoises, Turtle, Turtles, Vipers",动物,爬行动物,"蛇,蜥蜴,鳄鱼,鳄鱼,龟,恒河鳄,凯门鳄,壁虎",動物,爬行動物,"蛇,蜥蜴,鱷魚,鱷魚,龜,恒河鱷,凱門鱷,壁虎"
ANIMALS,RODENT,ANMLRdnt,ANML,"Beaver, Capybara, Chinchilla, Chipmunk, Chipmunks, Dog, Dormice, Gerbil, Gerbils, Gnawing, Gopher, Gophers, Groundhog, Guinea, Hamster, Hamsters, Jerboa, Jerboas, Kangaroo, Lemming, Marmot, Marmots, Mice, Mole, Mouse, Muskrat, Nutria, Opossums, Packrat, Pig, Porcupine, Possums, Prairie, Rat, Rats, Rodent, Rodents, Shrew, Squirrel, Vermin, Vole, Voles",动物,啮齿动物,"老鼠, 松鼠, 鼹鼠, 豪猪, 豚鼠, 花栗鼠, 海狸, 地鼠, 浣熊, 草原土拨鼠, 沙鼠, 仓鼠, 土拨鼠, 旅鼠, 麝鼠, 龙猫",動物,囓齒動物,"老鼠, 松鼠, 鼴鼠, 豪豬, 豚鼠, 花栗鼠, 海狸, 地鼠, 浣熊, 草原土撥鼠, 沙鼠, 倉鼠, 土撥鼠, 旅鼠, 麝鼠, 龍貓"
ANIMALS,WILD,ANMLWild,ANML,"Aardvark, Animalism, Animalistic, Anteater, Antelope, Badger, Bear, Bison, Boar, Buffalo, Caribou, Carnivores, Creatures, Critters, Deer, Devil, Elephant, Elk, Endangered, Gazelle, Giraffe, Grisly, Hippo, Hippopotamus, Impala, Kangaroo, Koala, Mammals, Moose, Ox, Panda, Platypus, Polar, Predators, Predatory, Quadrupeds, Raccoon, Red, Reindeer, Rhino, Rhinoceros, Sloth, Tapir, Tasmanian, Wallaby, Warthog, Wildebeest, Wildness, Wolverine, Wombat",动物,野生动物,"熊,长颈鹿,河马,大象,麋鹿,鹿,斑羚,獾,食蚁兽,鸭嘴兽,树懒,金刚狼,野猪,袋熊,考拉,袋鼠,小袋鼠,角马,鬣狗,熊猫,羚羊,浣熊,麋鹿,驯鹿,犀牛,土豚,疣猪,黑斑羚,河马,蜜獾,水牛,驼鹿",動物,野生動物,"熊,長頸鹿,河馬,大象,麋鹿,鹿,斑羚,獾,食蟻獸,鴨嘴獸,樹懶,金剛狼,野豬,袋熊,考拉,袋鼠,小袋鼠,角馬,鬣狗,熊貓,羚羊,浣熊,麋鹿,馴鹿,犀牛,土豚,疣豬,黑斑羚,河馬,蜜獾,水牛,駝鹿"
ARCHIVED,ADR,ADR,ADR,"Additional, Automated, Dialog, Dubbing, Loop, Recording, Replacement, Voiceover",归档,ADR,后期录音,歸檔,ADR,後期錄音
ARCHIVED,ASSET,ASSET,ASSET,"Asset, Game, Resource, Tag",归档,资源,"资产,资源,标签",歸檔,資源,"資產,資源,標籤"
ARCHIVED,BOUNCE,BNCE,BNCE,"Avid, Bounce, Crash, Crashdown, Down, Mix, Recordings, Temp",归档,导出,"素材导出,多层素材合并",歸檔,導出,"素材導出,多層素材合併"
ARCHIVED,IMPULSE RESPONSE,IR,IR,"Altiverb, Convolution, Early, Echo, Impulse, IR, Late, Reflection, Reflections, Response, Reverb, Sample, Tail",归档,卷积混响素材,"混响,IR,卷积混响,混响采样",歸檔,卷積混響素材,"混響,IR,卷積混響,混響採樣"
ARCHIVED,LOOP GROUP,LPGRP,LPGRP,"Actors, ADR, Group, Loop, Walla",归档,循环群组,循环声音素材,歸檔,循環群組,循環聲音素材
ARCHIVED,MIX,MIX,MIX,"5.1, 7.1, Atmos, Audio, Binaural, Blu-Ray, Dolby, DVD, Final, IMAX, M&E, Master, Mastering, Mix, Mixdown, Nearfield, Premix, Printmaster, Recordings, Remix, Stem, Stereo, Streaming, Surround, Theatrical",归档,混音,"预混,最终混音,M&E,混音,分轨",歸檔,混音,"預混,最終混音,M&E,混音,分軌"
ARCHIVED,PFX,PFX,PFX,"Effect, Production, Recording, Set",归档,现场音效,现场音效,歸檔,現場音效,現場音效
ARCHIVED,PRODUCTION,PROD,PROD,"Dialog, Dx, Line, Original, Recording, Set, Take",归档,现场对白,"对话, 台词",歸檔,現場對白,"對話, 台詞"
ARCHIVED,RAW,RAW,RAW,"DAT, Files, Original, Raw, Source, Tape, Unaltered, Unedited, Unmodified, Unprocessed, Untreated",归档,原始素材,"数据磁带,原始文件,未处理的素材",歸檔,原始素材,"數據磁帶,原始文件,未處理的素材"
ARCHIVED,REFERENCE,REF,REF,"Contextual, Demo, Example, Explanatory, Guide, Identification, Informational, Inspiration, Instructional, Materials, Mock-Up, Placeholder, Refer, Referenced, References, Referencing, Researched, Researching, Resources, Sample, Temporary, Track",归档,参考素材,"参考,灵感",歸檔,參考素材,"參考,靈感"
ARCHIVED,SCENE,SCNE,SCNE,"Documentary, Episode, Footage, Montage, Movie, Prebuilt, Readymade, Scenario, Scene, Segment, Sequence, Series, TV",归档,场景素材,"素材, 设计的素材",歸檔,場景素材,"素材, 設計的素材"
ARCHIVED,TEST TONE,TEST,TEST,"2-Pops, ADR, Audio, Beeps, Bleeping, Calibration, Dolby, Frequency, Generator, IR, Monitoring, Noise, Pink, Reference, Signal, Sine, SMPTE, Square, Sweep, Sweeps, Test, Tones, Wave, White",归档,测试音,"adr 哔哔声,测试音,哔音,2pops,白噪声,粉红噪声,正弦波扫描, 信号",歸檔,測試音,"adr 嗶嗶聲,測試音,嗶音,2pops,白噪聲,粉紅噪聲,正弦波掃描, 信號"
ARCHIVED,TRADEMARKED,TMARK,TMARK,"Brand, Branded, Branding, Brandname, Brandnames, Copyright, Copyrightable, Copyrighted, Corporate, Iconic, Infringed, Legal, Licensable, Licensed, Logo, Logos, Patent, Patented, Product, Proprietary, Protected, Registered, Restricted, Slogan, Sound, Trademark, Trademarks, Tradename, Tradenames",归档,商标音,"商标,版权,产品声音,许可,注册,合法, 标识",歸檔,商標音,"商標,版權,產品聲音,許可,註冊,合法, 標識"
ARCHIVED,WORK IN PROGRESS,WIP,WIP,"Backlog, In, Ongoing, Progress, Project, Task., Temp, Unfinished, Upcoming, WIP, Work, Workflow, Worklist, Worklog",归档,过程中素材,"工作进行中,未完成",歸檔,過程中素材,"工作進行中,未完成"
ARCHIVED,WTF,WTF,WTF,"Baffling, Jokes, Perplexing, Puzzling, Uncategorizable, Unknown",归档,未确认素材,"不可归类的,未知的",歸檔,未確認素材,"不可歸類的,未知的"
BEEPS,APPLIANCE,BEEPAppl,BEEP,"Air, Blender, Bread, Cleaner, Coffee, Conditioner, Cooker, Cooktop, Dishwasher, Dishwashers, Dishwashing, Dryer, Electric, Fan, Food, Hair, Heater, Iron, Kettle, Machine, Maker, Microwave, Mixer, Oven, Processor, Refrigerator, Rice, Slow, Stand, Toaster, Vacuum, Washing",提示音,电器,"微波炉,洗碗机,洗衣机,烘干机",提示音,電器,"微波爐,洗碗機,洗衣機,烘乾機"
BEEPS,GENERAL,BEEP,BEEP,"Alarms, Alerts, Beep, Beeper, Bleep, Bleeper, Bleeps, Blinks, Blipping, Chimes, Chirps, Confirmation, Diagnostic, Error, Homing, Keypad, Menu, Navigation, Notifications, Pings, Shutdown, Signals, Tones, Warnings",提示音,通用,嘟,提示音,通用,嘟
BEEPS,LOFI,BEEPLofi,BEEP,"8-Bit, Analog, Atari, Classic, Colecovision, Distorted, Fuzzy, Nostalgic, Old-School, Retro, Static, Vintage",提示音,低保真,"电话音,电视音,广播",提示音,低保真,"電話音,電視音,廣播"
BEEPS,MEDICAL,BEEPMed,BEEP,"ECG, EEG, EKG, Flatline, Heart, KDC, Monitor, Oximeter, Pulse, Ultrasound",提示音,医疗器械,"心电图,KDC,心脏监护仪,超声波,医用",提示音,醫療器械,"心電圖,KDC,心臟監護儀,超聲波,醫用"
BEEPS,TIMER,BEEPTimer,BEEP,"Countdown, Digital, Kitchen, Microwave, Oven, Phone, Timer, Watch",提示音,计时器,"微波炉,烤箱定时器,数字手表,定时器",提示音,計時器,"微波爐,烤箱定時器,數字手錶,定時器"
BEEPS,VEHICLE,BEEPVeh,BEEP,"Alert, Backup, Beep, Blink, Blinker, Forklift, Reverse, Reversing, Signal, Warning",提示音,车辆,"叉车蜂鸣,备用蜂鸣",提示音,車輛,"叉車蜂鳴,備用蜂鳴"
BELLS,ANIMAL,BELLAnml,BELL,"Bell, Collar, Cowbell, Hawkbell, Sheep, Sleigh",钟铃,动物,"牛铃,狗铃,猫铃",鐘鈴,動物,"牛鈴,狗鈴,貓鈴"
BELLS,DOORBELL,BELLDoor,BELL,"Chime, Ding, Ding-Dong, Dong, Door, Doorbell, Ring",钟铃,门铃,"门铃,叮咚",鐘鈴,門鈴,"門鈴,叮咚"
BELLS,GONG,BELLGong,BELL,"Agung, Bowl, Buddhist, Gamelan, Gong, Meditation, Tam-Tam, Temple, Tibetan",钟铃,锣,"锣, 铜钟",鐘鈴,鑼,"鑼, 銅鐘"
BELLS,HANDBELL,BELLHand,BELL,"Alter, Bells, Butler, Dinner, Hand, Jingle, School, Service",钟铃,手铃,"手摇铃,晚餐铃,校铃,雪橇铃",鐘鈴,手鈴,"手搖鈴,晚餐鈴,校鈴,雪橇鈴"
BELLS,LARGE,BELLLrg,BELL,"Ben, Big, Cathedral, Church, Liberty, Peal, Temple, Tower",钟铃,大钟,"寺庙钟, 教堂钟, 大钟,编钟",鐘鈴,大鐘,"寺廟鐘, 教堂鐘, 大鐘,編鐘"
BELLS,MISC,BELLMisc,BELL,"Bicycle, Fire, School, Train, Tram, Trolley",钟铃,其它,"自行车铃,服务铃,呼叫铃",鐘鈴,其它,"自行車鈴,服務鈴,呼叫鈴"
BIRDS,BIRD OF PREY,BIRDPrey,BIRD,"Avivore, Bald, Birdlover, Birdseye, Birdtrap, Buzzard, Caracara, Condor, Eagle, Eaglehawk, Falcon, Fishhawk, Golden, Goshawk, Harrier, Hawk, Hawkling, Kestrel, Kite, Merlin, Osprey, Owl, Peregrine, Raptor, Red-Tailed, Redtail, Sparhawk, Sparrowhawk, Swallow-Tailed, Talon, Verreaux, Vulture, White-Tailed",鸟类,猛禽,"鹰,猎鹰,猫头鹰,秃鹫,秃鹰,秃鹰,风筝,鱼鹰,鹞,红隼",鳥類,猛禽,"鷹,獵鷹,貓頭鷹,禿鷲,禿鷹,禿鷹,風箏,魚鷹,鷂,紅隼"
BIRDS,CROW,BIRDCrow,BIRD,"Beak, Blue, BluJay, Cawed, Cawing, Caws, Chough, Choughs, Corvid, Corvine, Crow, Crowe, Grackle, Jackdaw, Jay, Jays, Magpie, Nutcracker, Raven, Ravens, Rook, Rooks, Squawking, Treecreeper, Treepies",鸟类,乌鸦,"乌鸦,喜鹊",鳥類,烏鴉,"烏鴉,喜鵲"
BIRDS,FOWL,BIRDFowl,BIRD,"Barnyard, Capon, Chachalacas, Chicken, Chitterling, Chukar, Cockerel, Curassow, Duck, Duckling, Ducks, Eider, Emu, Fowl, Fowle, Gamebirds, Geese, Giblet, Goose, Grebe, Grouse, Guans, Guineafowl, Hen, Hens, Mallard, Muscovy, Ostrich, Partridge, Partridges, Peafowl, Pheasant, Pheasants, Plumage, Poulterer, Poussin, Ptarmigan, Quail, Quails, Rooster, Squab, Swan, Teal, Turkey, Turkeys, Turkies, Waterfowl, Woodcocks",鸟类,家禽,"鸡,雉鸡,火鸡,鹅,松鸡,鸭,天鹅,鹧鸪,野鸭,绒鸭,鹌鹑,雷鸟",鳥類,家禽,"雞,雉雞,火雞,鵝,松雞,鴨,天鵝,鷓鴣,野鴨,絨鴨,鵪鶉,雷鳥"
BIRDS,MISC,BIRDMisc,BIRD,"Ani, Cassowary, Cuckoo, Emu, Hummingbird, Kiwi, Nighthawk, Nightjar, Ostrich, Poorwill, Roadrunner, Woodpecker",鸟类,其它,"杜鹃, 啄木鸟, 夜鹰, 蜂鸟",鳥類,其它,"杜鵑, 啄木鳥, 夜鷹, 蜂鳥"
BIRDS,SEA,BIRDSea,BIRD,"Albatross, Auk, Auklet, Black-Legged, Booby, Bowerbird, Brown, Cormorant, Dunlin, Frigatebird, Fulmar, Gannet, Guillemot, Gull, Kittiwake, Migratory, Murrelet, Noddy, Oystercatcher, Pelican, Penguin, Petrel, Plover, Puffin, Razorbill, Sandpiper, Sandplover, Seabird, Seaduck, Seafowl, Seagull, Seahawk, Shearwater, Sheerwater, Shorebird, Skua, Skuas, Tern, Waterfowl, Widowbird, Yellow",鸟类,海鸟,"海鸥, 塘鹅, 信天翁, 鸬鹚, 鹈鹕, 企鹅, 海燕, 燕鸥, 军舰鸟, 鲣鸟, 鸻, 鹬, 海雀",鳥類,海鳥,"海鷗, 塘鵝, 信天翁, 鸕鶿, 鵜鶘, 企鵝, 海燕, 燕鷗, 軍艦鳥, 鰹鳥, 鴴, 鷸, 海雀"
BIRDS,SONGBIRD,BIRDSong,BIRD,"Antechinus, Bellbird, Bellbirds, Birdcall, Birdy, Blackbird, Bluebird, Bobwhite, Bowerbird, Bowerbirds, Budgerigar, Bullfinch, Bunting, Canary, Cardinal, Chaffinch, Chat, Chickadee, Chirrups, Cisticola, Cockatiel, Creeper, Dipper, Dove, Finch, Flycatcher, Gnatcatcher, Greenfinch, Grosbeak, Hawfinch, Honeyeater, Kinglet, Lark, Lovebird, Meadowlark, Mockingbird, Nightingale, Nuthatch, Oriole, Oscine, Ovenbird, Parula, Penduline, Pigeon, Robin, Serin, Skylark, Songful, Songster, Songstress, Sparrow, Starling, Swallow, Tanager, Thrasher, Thrush, Tit, Titmouse, Towhee, Treecreeper, Troupial, Vireo, Warble, Warbler, Warblers, Warbles, Waxwing, Whitethroat, Woodlark, Wren",鸟类,鸣鸟,"鸽子, 知更鸟, 麻雀, 燕子, 唐纳雀, 画眉,  莺, 鹪鹩, 山雀, 云雀, 八哥, 黑鸟,鸫鸟,黑鸟",鳥類,鳴鳥,"鴿子, 知更鳥, 麻雀, 燕子, 唐納雀, 畫眉, 鶯, 鷦鷯, 山雀, 雲雀, 八哥, 黑鳥,鶇鳥,黑鳥"
BIRDS,TROPICAL,BIRDTrop,BIRD,"Antbird, Aracari, Barbet, Bellbird, Bulbul, Cockatoo, Coquette, Eye, Firebird, Honeycreeper, Hornbill, Ibis, Jacamar, Kookaburra, Lorikeet, Lyrebird, Macaw, Manakin, Mango, Motmot, Mynah, Mynas, Parakeet, Parrot, Parroting, Parrots, Peacock, Potoo, Puffbird, Quetzal, Runner, Shoebill, Skimmer, Sunbird, Tanager, Toucan, Trogon, Tropicbird",鸟类,热带,"鹦鹉, 巨嘴鸟, 笑翠鸟, 琴鸟, 孔雀, 金刚鹦鹉, 犀鸟, 长尾小鹦鹉, 琵鹭, 火烈鸟",鳥類,熱帶,"鸚鵡, 巨嘴鳥, 笑翠鳥, 琴鳥, 孔雀, 金剛鸚鵡, 犀鳥, 長尾小鸚鵡, 琵鷺, 火烈鳥"
BIRDS,WADING,BIRDWade,BIRD,"Avocet, Bittern, Blue, Bower, Coot, Crane, Curlew, Dowitcher, Egret, Flamingo, Godwit, Heron, Ibis, Little, Oystercatcher, Plover, Rail, Redshank, Ruff, Sanderling, Sandpiper, Shorebird, Snipe, Sora, Spoonbill, Stork, Wader, Waterbird, Waterfowl, Whimbrel, Wildfowl, Yellowlegs",鸟类,水鸟,"白鹭,火烈鸟,琵鹭,鹳,苍鹭,鹬",鳥類,水鳥,"白鷺,火烈鳥,琵鷺,鸛,蒼鷺,鷸"
BOATS,AIR BOAT,BOATAir,BOAT,"Air, Amphibious, Boat, Fan, Hovercraft, Swamp",船舶,汽艇,"风扇船,气垫船,气垫船,香蕉船,快艇",船舶,汽艇,"風扇船,氣墊船,氣墊船,香蕉船,快艇"
BOATS,BOW WASH,BOATWash,BOAT,"Bow, Propeller, Ripple, Wake, Wave",船舶,船浪,"波浪, 船浪, 船波",船舶,船浪,"波浪, 船浪, 船波"
BOATS,DOOR,BOATDoor,BOAT,"Access, Boat, Bulkhead, Cabin, Door, Ferry, Gangway, Gate, Hatch, Ship, Trapdoor, Watertight",船舶,门,"舱门,液压门",船舶,門,"艙門,液壓門"
BOATS,ELECTRIC,BOATElec,BOAT,"DC, Electrical, Motor, Powered, Trolling",船舶,电动船,"拖钓马达,电动马达",船舶,電動船,"拖釣馬達,電動馬達"
BOATS,FISHING,BOATFish,BOAT,"Angling, Bass, Boat, Crab, Dredger, Fisher, Fisheries, Fisherman, Fishermen, Fishery, Fleet, Gillnetter, Jon, Line, Research, Seiner, Sportfishing, Trawl, Trawler, Trawlers, Vessel, Vessels",船舶,捕鱼,"捕蟹船,拖网渔船,围网船,线船,挖泥船,刺网船,研究船",船舶,捕魚,"捕蟹船,拖網漁船,圍網船,線船,挖泥船,刺網船,研究船"
BOATS,HORN,BOATHorn,BOAT,"Air, Blast, Canal, Departure, Ferry, Horn, Ports, Ship, Tugboat, Warning",船舶,船笛,"船喇叭,拖船喇叭,汽笛",船舶,船笛,"船喇叭,拖船喇叭,汽笛"
BOATS,INTERIOR,BOATInt,BOAT,"Aboard, Balcony, Belowdecks, Berth, Bilge, Boat, Bowels, Bunk, Cabin, Cargo, Cockpit, Cruise, Engine, Ferries, Ferry, Freighter, Galley, Head, Helm, Inside, Interior, Military, Navy, Room, Sailboat, Salon, Ship, Stateroom, Stowaway, Submarine, Tanker, Tugboat, Yacht",小船,舱内,"船,渡轮,渡轮,游轮,海军,军船,拖船,帆船,游艇,油轮,货船,货轮,潜艇",小船,艙內,"船,渡輪,渡輪,遊輪,海軍,軍船,拖船,帆船,遊艇,油輪,貨船,貨輪,潛艇"
BOATS,MECHANISM,BOATMech,BOAT,"Anchor, Cage, Davit, Grapnel, Jigger, Net, Propeller, Pulley, Rigging, Rope, Rudder, Ship, Throttle, Trap, Wheel, Winch, Windlass",船舶,机械,"索具,滑轮,绳索,船轮,油门,网,笼,陷阱,锚",船舶,機械,"索具,滑輪,繩索,船輪,油門,網,籠,陷阱,錨"
BOATS,MILITARY,BOATMil,BOAT,"Aircraft, Amphibious, Armada, Attack, Battlecruiser, Battleship, Blockade, Boat, Carrier, Corvette, Craft, Cruiser, Cruisier, Destroyer, Dreadnought, Fast, Fleet, Flotilla, Frigate, Gunboat, Landing, Naval, Patrol, Submarine, Torpedo, Warship",船舶,军用,"巡逻艇, 驱逐舰, 巡洋舰, 战列巡洋舰, 护卫舰, 快速攻击船",船舶,軍用,"巡邏艇, 驅逐艦, 巡洋艦, 戰列巡洋艦, 護衛艦, 快速攻擊船"
BOATS,MISC,BOATMisc,BOAT,"Afloat, Barge, Boatswain, Bosun, Capsize, Capsizing, Paddleboard, Paddleboat",船舶,其它,"桨船,桨板",船舶,其它,"槳船,槳板"
BOATS,MOTORBOAT,BOATMotr,BOAT,"Bass, Boat, Bowrider, Cabin, Cruiser, Duck, Fishing, Personal, Pontoon, Powerboat, Runabout, Ski, Small, Speedboat",船舶,摩托艇,"小船,个人渔船,快艇,浮筒船,鸭子船,小艇",船舶,摩托艇,"小船,個人漁船,快艇,浮筒船,鴨子船,小艇"
BOATS,RACING,BOATRace,BOAT,"Boat, Cigarette, Drag, Hydrofoil, Hydroplane, Jet, Powerboat, Regatta, Ski",船舶,赛艇,"水上飞机,水翼艇,喷射艇",船舶,賽艇,"水上飛機,水翼艇,噴射艇"
BOATS,ROWBOAT,BOATRow,BOAT,"Canoe, Canoes, Cutter, Dinghy, Dory, Gondola, Inflatable, Jon, Kayak, Lifeboat, Longboat, Oar, Outrigger, Paddle, Punt, Raft, Row, Rowboat, Scow, Scull, Skiff, Wherry",船舶,划艇,"手摇船,独木舟,划艇,皮划艇,桨,龙舟",船舶,划艇,"手搖船,獨木舟,划艇,皮划艇,槳,龍舟"
BOATS,SAILBOAT,BOATSail,BOAT,"Barkentine, Barque, Barquentine, Brig, Brigantine, Catamaran, Centerboard, Clipper, Cutter, Dhow, Dinghy, Junk, Keelboat, Ketch, Longboat, Monohull, Pinnace, Proa, Regatta, Sailboat, Schooner, Shallop, Sloop, Trimaran, Yacht, Yawl",船舶,帆船,"帆船, 单桅帆船, 双桅船,风动船",船舶,帆船,"帆船, 單桅帆船, 雙桅船,風動船"
BOATS,SHIP,BOATShip,BOAT,"Cargo, Container, Cruise, Ferry, Freighter, Icebreaker, Large, Oil, Passenger, Pirate, Research, Ship, Tanker, Tugboat, Vessel",船舶,大船,"大船, 游轮, 油轮, 货船, 货轮",船舶,大船,"大船, 遊輪, 油輪, 貨船, 貨輪"
BOATS,STEAM,BOATStm,BOAT,"Boiler, Engine, Paddlewheel, Riverboat, Ship, Steamboat, Steamer, Steamship, Sternwheeler, Titanic",船舶,蒸汽船,"蒸汽明轮船,明轮船,蒸汽机",船舶,蒸汽船,"蒸汽明輪船,明輪船,蒸汽機"
BOATS,SUBMARINE,BOATSub,BOAT,"AUV, Deep-Sea, Nuclear-Powered, Research, ROV, Sonar, Sub, Submarine, Submersible, Subs, Torpedo, Torpedoing, U-Boat",船舶,潜艇,"潜艇,声纳,海底,深海",船舶,潛艇,"潛艇,聲納,海底,深海"
BOATS,UNDERWATER,BOATUndwtr,BOAT,"Recorded, Submerged, Undersea",船舶,水下,"水下录音, 水下",船舶,水下,"水下錄音, 水下"
BULLETS,BY,BLLTBy,BLLT,"Bullet, Fwip, Graze, Subsonic, Supersonic, Whiz-By, Whizby",子弹,飞过,"子弹飞过, 子弹经过, 子弹擦过",子彈,飛過,"子彈飛過, 子彈經過, 子彈擦過"
BULLETS,IMPACT,BLLTImpt,BLLT,"Armor, Ballistic, Body, Bullet, Bulletproof, Gunshot, Headshot, Hit, Impact, Killshot, Penetration, Pierce, Shot, Strike, Struck, Vest, Wounded",子弹,击中,"子弹撞击,子弹击中,中弹",子彈,擊中,"子彈撞擊,子彈擊中,中彈"
BULLETS,MISC,BLLTMisc,BLLT,"Air, Ammunitions, Armor, Bandoliers, BB, Birdshot, Blanks, Buckshot, Bullet, Cartridges, Dummy, Frangible, Incendiary, Miscellaneous, Paintball, Pellet, Piercing, Reloads, Rifle, Rounds, Rubber, Slug, Subsonic, Supersonic, Tracer",子弹,其它,各种各样的,子彈,其它,各種各樣的
BULLETS,RICOCHET,BLLTRico,BLLT,"Deflect, Ricochet, Ricos, Whizzing",子弹,弹跳,"弹跳, 偏转, 弹出",子彈,彈跳,"彈跳, 偏轉, 彈出"
BULLETS,SHELL,BLLTShel,BLLT,"Ammo, Ammunition, Cartridge, Casing, Eject, Housing, Shell",子弹,弹壳,"弹壳,弹出",子彈,彈殼,"彈殼,彈出"
CARTOON,ANIMAL,TOONAnml,TOON,"Animal, Animated, Call, Cartoony, Comic, Duck, Fake, Hanna, Hunting, Silly, Toon",卡通,动物,"可爱动物叫, 憨憨动物声",卡通,動物,"可愛動物叫, 憨憨動物聲"
CARTOON,BOING,TOONBoing,TOON,"Animated, Cartoony, Comic, Hanna, Harp, Jaw, Mouth, Pogo, Silly, Spring, Stick, Toon",卡通,弹簧音,卡通弹跳声,卡通,彈簧音,卡通彈跳聲
CARTOON,CLANG,TOONClang,TOON,"Animated, Anvil, Bong, Cartoony, Clink, Comic, Hanna, Metallic, Silly, Toon",卡通,咣当,"叮当,金属,刀光,刀剑",卡通,咣當,"叮噹,金屬,刀光,刀劍"
CARTOON,CREAK,TOONCreak,TOON,"Animated, Cartoony, Comic, Hanna, Screech, Silly, Toon, Wood",卡通,嘎吱,"橡胶,牛皮筋,硅胶",卡通,嘎吱,"橡膠,牛皮筋,矽膠"
CARTOON,HORN,TOONHorn,TOON,"Animated, Bugle, Bulb, Cartoony, Clown, Comic, Hanna, Honk, Silly, Toon, Trumpet",卡通,号,"灯泡喇叭, 喇叭, 小丑喇叭",卡通,號,"燈泡喇叭, 喇叭, 小丑喇叭"
CARTOON,IMPACT,TOONImpt,TOON,"Animated, Bang, Biff, Boff, Boink, Bonk, Cartoony, Clobber, Comic, Doink, Hanna, Hit, Punch, Shtoink, Silly, Smack, Strike, Thunk, Toon, Wham, Zonk",卡通,打击,duang,卡通,打擊,duang
CARTOON,MACHINE,TOONMach,TOON,"ACME, Animated, Apparatus, Cartoony, Comic, Comical, Contraption, Device, Gadget, Gizmo, Goldberg, Hanna, Machine, Rube, Silly, Toon, Trap",卡通,机器,卡通机器,卡通,機器,卡通機器
CARTOON,MISC,TOONMisc,TOON,"Animated, Blorb, Cartoony, Comic, Flump, Hanna, Silly, Squanch, Toon",卡通,其它,"搞笑,蠢,可爱",卡通,其它,"搞笑,蠢,可愛"
CARTOON,MUSICAL,TOONMx,TOON,"Animated, Ascend, Cartoony, Comic, Descend, Gliss, Hanna, Melodic, Musical, Silly, Toon",卡通,音乐性,"琶音,上升,下降,",卡通,音樂性,"琶音,上升,下降,"
CARTOON,PLUCK,TOONPluk,TOON,"Animated, Cartoony, Comic, Hanna, Plink, Pluck, Silly, String, Toon",卡通,弹拨,拨弦,卡通,彈撥,撥弦
CARTOON,POP,TOONPop,TOON,"Animated, Bubble, Bubblegum, Cartoony, Comic, Cup, Gun, Hanna, Mouth, Pop, Pops, Silly, Suction, Toon",卡通,道具,"吸盘,泡泡爆破",卡通,道具,"吸盤,泡泡爆破"
CARTOON,SHAKE,TOONShake,TOON,"Animated, Cartoony, Comic, Hanna, Rattle, Silly, Toon, Tremble",卡通,摇晃,嘎嘎声,卡通,搖晃,嘎嘎聲
CARTOON,SPLAT,TOONSplt,TOON,"Animated, Cartoony, Comic, Hanna, Silly, Splat, Splort, Squelch, Squish, Toon",卡通,啪嗒,卡通液体声,卡通,啪嗒,卡通液體聲
CARTOON,SQUEAK,TOONSqk,TOON,"Animated, Cartoony, Comic, Hanna, Rubber, Silly, Squeak, Toon",卡通,摩擦,吱,卡通,摩擦,吱
CARTOON,STRETCH,TOONStrch,TOON,"Animated, Cartoony, Comic, Elongate, Extend, Hanna, Lengthen, Pull, Silly, Strain, Toon, Yank",卡通,伸缩,"拉紧,拉伸",卡通,伸縮,"拉緊,拉伸"
CARTOON,SWISH,TOONSwsh,TOON,"Animated, Cartoony, Comic, Hanna, Silly, Swirl, Swoosh, Toon, Twirl, Whoosh",卡通,嗖嗖,"旋转,划过,闪白,过场",卡通,嗖嗖,"旋轉,劃過,閃白,過場"
CARTOON,TWANG,TOONTwang,TOON,"Animated, Band, Cartoony, Comic, Hanna, Harp, Jaw, Pluck, Rubber, Ruler, Silly, String, Toon, Twanging",卡通,弹拨声,"拨尺声, 弹尺声",卡通,彈撥聲,"撥尺聲, 彈尺聲"
CARTOON,VEHICLE,TOONVeh,TOON,"Animated, Backfire, Cartoony, Comic, Contraption., Flintstones, Hanna, Jetsons, Silly, Toon",卡通,载具,"异型车, 特殊载具",卡通,載具,"異型車, 特殊載具"
CARTOON,VOCAL,TOONVox,TOON,"Animated, Cartoony, Comic, Grumble, Hanna, Mumble, Mutter, Ramble, Silly, Toon, Voice",卡通,语音,非人类叫声,卡通,語音,非人類叫聲
CARTOON,WARBLE,TOONWarb,TOON,"Animated, Cartoony, Comic, Hanna, Quaver, Silly, Toon, Vibrato, Warbling, Wobble",卡通,颤音,颤音,卡通,顫音,顫音
CARTOON,WHISTLE,TOONWhis,TOON,"Animated, Blow, Cartoony, Comic, Hanna, Silly, Slide, Toon, Toot, Whistle, Wolf",卡通,哨子,"滑哨,哨音",卡通,哨子,"滑哨,哨音"
